name,online_order,book_table,rate,votes,location,rest_type,cuisines,approx_cost(for two people),menu_item,listed_in(type),listed_in(city)
Sea Green Cafe,No,No,3.3,4,Banashankari,Cafe,"Cafe, Fast Food, Beverages",500,[],Dine-out,Banashankari
As On Fire,Yes,No,3.5,41,South Bangalore,Food Truck,"Pizza, Fast Food, BBQ",400,[],Dine-out,Banashankari
Pizza Hut,Yes,No,3.7,405,Banashankari,Casual Dining,"Pizza, Fast Food",750,"['Spiced Paneer', 'Soya Masala', 'Veggie Feast', 'Double Cheese', 'Veg Exotica', 'Veggie Supreme', 'Veggie Italiano', 'Paneer Soya Supreme', 'Margherita', 'Tandoori Paneer', 'Veggie Lover', 'Country Feast', 'Paneer', 'Spice', 'Veggie', 'Spicy Chicken', 'Chicken Exotica', 'Chicken Supreme', 'Chicken Italiano', 'Spiced Chicken Meatballs', 'Chickeroni (Chicken Pepperoni)', 'Lebanese Chicken', 'Smoked Chicken', 'Chicken Tikka', 'Chicken Sausage', 'Spanish Tomato Non Veg Pasta', 'Texas Garlic Dip', 'Spanish Tomato Veg Pasta', 'Garlic Bread Spicy Supreme', 'Cheesy Garlic Bread Stix', 'Cheese Garlic Bread', 'Garlic Bread Stix', 'Spicy Baked Chicken Wings', 'Tandoori Pocket Paneer', 'Pepsi', 'Mirinda', '7-up', 'Choco Truffle Cake', 'Choco Volcano Cake']",Dine-out,Banashankari
New Prashanth Hotel,Yes,No,3.9,388,Banashankari,Casual Dining,"Biryani, North Indian, Seafood, Andhra",650,"['Chicken 65', 'Chicken Manchurian', 'Chicken Padak', 'Chicken Raja', 'Chilli Chicken', 'French Chicken', 'Pudina Chicken', 'Boneless Pudina Chicken', 'Chicken Sholay Kebab', 'Garlic Chicken', 'Boneless Garlic Chicken', 'Lemon Chicken', 'Keema Ball', 'Keema Ball Dry', 'Egg Boti Fry', 'Boti Fry', 'Keema Ball Fry', 'Mutton Liver Fry', 'Jeera Rice', 'White Rice', 'Biryani Rice', 'Egg Biryani']",Dine-out,Banashankari
Taaza Thindi,No,No,4.7,651,Banashankari,Quick Bites,South Indian,100,[],Dine-out,Banashankari
Ayodhya Upachar,Yes,No,4.3,734,Banashankari,Quick Bites,"South Indian, North Indian, Chinese, Street Food",200,"['Veg Fried Rice Combo', 'Masala Dosa', 'Set Dosa [3 Pieces]', 'Onion Dosa', 'Butter Masala Dosa', 'Paper Masala Dosa', 'North Indian Meal', 'Roti Curry', 'South Indian Meal', 'Veg Biryani', 'Handi Biryani', 'Gobi Manchurian', 'Paneer Manchurian', 'Baby Corn Manchurian', 'Veg Fried Rice', 'Veg Noodles', 'Butter Naan', 'Dal Fry', 'Paneer Butter Masala', 'Kaju Masala', '3 Poori', 'Rice Bath', 'Veg Fried Rice Combo', 'South Indian Meal', 'South Mini Meal', 'North Indian Meal', 'Roti Curry', 'Kulcha Curry', 'Naan Curry', '2 Idli', 'Vada', '2 Idly and Vada', 'Rava Idli', '3 Poori', 'Rice Bath', 'Tomato Soup', 'Gobi Manchurian', 'Gobi Chilly', 'Gobi Pepper Dry', 'Paneer Manchurian', 'Paneer Chilly', 'Paneer Pepper Dry', 'Mushroom Manchurian', 'Mushroom Chilly', 'Mushroom Pepper Dry', 'Baby Corn Manchurian', 'Baby Corn Chilly', 'Baby Corn Pepper Dry', 'Dal Fry', 'Dal Punjabi', 'Dal Palak', 'Chana Masala', 'Green Peas Masala', 'Aloo Chana Masala', 'Plain Palak', 'Palak Paneer', 'Aloo Palak', 'Peas Palak', 'Mixed Veg Curry', 'Veg Kolhapuri', 'Veg Hydarabadi', 'Veg Kadhai', 'Mushroom Masala', 'Capsicum Masala', 'Tomato Curry', 'Paneer Butter Masala', 'Paneer Kadhai', 'Veg Makhanwala', 'Kaju Masala', 'Kaju Matar', 'Baby Corn Masala', 'Veg Pepper Masala', 'Ayodhya Special Curry', 'Roti', 'Butter Roti', 'Kulcha', 'Butter Kulcha', 'Naan', 'Butter Naan', 'Veg Pulav', 'Veg Biryani', 'Peas Pulav', 'Peas Biryani', 'Handi Pulav', 'Handi Biryani', 'Curd Rice', 'Ghee Rice', 'Jeera Rice', 'Veg Fried Rice', 'Mushroom Fried Rice', 'Triple Fried Rice', 'Schezwan Fried Rice', 'Singapore Fried Rice', 'Ayodhya Special Fried Rice', 'Veg Noodles', 'Paneer Noodles', 'Mushroom Noodles', 'Schezwan Noodles', 'Singapore Noodles', 'Masala Dosa', 'Set Dosa [3 Pieces]', 'Plain Dosa', 'Onion Dosa', 'Open Dosa', 'Butter Masala Dosa', 'Paper Masala Dosa', 'Paper Plain Dosa', 'Butter Plain Dosa', 'Bajji [2 Pieces]', 'Coffee', 'Tea', 'Badam Milk', 'Vanilla Ice Cream', 'Strawberry Ice Cream', 'Chocolate Ice Cream', 'Butterscotch Ice Cream', 'Blackcurrent Ice Cream', 'Pista Ice Cream', 'Tutti Fruity Ice Cream', 'Fig and Honey Ice Cream', 'Mango Ice Cream', 'Fruit Salad', 'Gudbad', 'Double Sundae', 'Vanilla Fudge', 'Strawberry Sundae', 'Falooda Ice Cream', 'Ayodhya Special Ice Cream', 'Banana Spite Ice Cream', 'Honeymoon Special Ice Cream', 'Dry Fruit Special Ice Cream', 'Mosambi Juice', 'Orange Juice', 'Pineapple Juice', 'Grape Juice', 'Watermelon Juice', 'Lemon Juice', 'Butter Milk', 'Banana Milkshake', 'Papaya Milkshake', 'Sapota Milkshake', 'Mango Milkshake', 'Muskmelon Milkshake', 'Anar Milkshake', 'Apple Milkshake', 'Dates Milkshake', 'Anjeer Milkshake', 'Badam Milkshake', 'Mixed Dry Fruit Milkshake', 'Lychee Milkshake', 'Sharjah Milkshake', 'Falooda Milkshake', 'Oreo Milkshake', 'Cherry Milkshake', 'Cold Coffee Milkshake', 'Ragi Milkshake', 'Ragi Vanilla Milkshake', 'Ragi Badam Milkshake', 'Ragi Dry Fruit Milkshake', 'Ragi Chocolate Milkshake', 'Venila Ice Cream Milkshake', 'Strawberry Ice Cream Milkshake', 'Chocolate Ice Cream Milkshake', 'Pista Ice Cream Milkshake', 'Butterscotch Ice Cream Milkshake', 'Sweet Lassi', 'Fruit Lassi', 'Banana Lassi', 'Strawberry Lassi', 'Chocolate Lassi', 'Ragi Lassi', 'Veg Fried Rice Combo']",Dine-out,Banashankari
Petoo,No,No,3.7,21,Banashankari,Quick Bites,North Indian,450,[],Dine-out,Banashankari
Roving Feast,No,No,4.0,1047,Banashankari,Quick Bites,"Italian, Continental, Fast Food, Chinese, Momos",450,[],Dine-out,Banashankari
KFC,Yes,No,3.8,505,Banashankari,Quick Bites,"Burger, Fast Food",450,"['Boneless Strips', '4 Pc Hot Wings', 'Chicken Popcorn (Large)', '5 in 1 Rice Box', '5 in 1 Rice Box', 'Hot & Crispy', 'Boneless Strips', 'Smoky Grilled', 'Hot & Crispy [2 Pieces]', '4 Pc Veg Strips*', '4 Pc Hot Wings', 'Chicken Popcorn (Large)', 'Veg Zinger Burger', 'Veg Longer Burger', 'Zinger Combo', '2 Double Down [Serves 2]', 'Double Down Combo [Serves 2]', 'Ultimate Savings Bucket', 'Triple Treat', 'Big 8', 'Big 8 Meal', 'Chick & Share + 3 Pepsi', 'Chick & Share', 'Friendship Bucket Meal', 'Friendship Bucket', 'Duo Bucket', 'Mingles Bucket', 'Veg Strips Rice Bowl', 'Veg Strips Rice Bowl + Pepsi', 'Chicken Popcorn Rice Bowl', 'Chicken Popcorn Rice Bowl + Pepsi', 'Popcorn Rice Combo', 'Popcorn Rice Duo', 'Smoky Grilled Rice Bowl', 'Smoky Grilled Rice Bowl + Pepsi', 'Pepsi (Pet Bottle)']",Dine-out,Banashankari
Five Star Chicken,No,No,3.6,55,Banashankari,Quick Bites,"Fast Food, Burger",200,[],Dine-out,Banashankari
Gama Gama,Yes,No,3.9,264,Banashankari,Quick Bites,South Indian,200,"['Meal 1', 'Meal 2', '2 Roti with 2 Curry', '2 Chapati with 2 curry', 'Apple Milkshake', 'Pomegranate Milkshake', 'Talipatt', 'Sabudana Vada [4 Pieces]', 'Millet Bisibele Bhath', 'Rice Sambar', 'Mysore Masala Dosa', 'Chilli Cheese Dosa', 'Rava Masala Dosa', 'Tomato Onion Uttapam', 'Rice Sambar', 'Talipatt', 'Sabudana Vada [4 Pieces]', 'Paddu', 'Millet Bisibele Bhath', 'Avalakki Curd Poha', 'Mandakki Oggarane', 'Mirchi Bajji', 'Brinjal Bajji', 'Girmit', 'Avalakki Chooda', 'Coffee', 'Tea', 'Badam Milk', 'Meal 1', 'Meal 2', '2 Roti with 2 Curry', '2 Chapati with 2 curry', 'Holige', 'Jowar Roti', 'Chapati Roti', 'Plain Dosa', 'Masala Dosa', 'Butter Dosa', 'Butter Masala', 'Ghee Dosa', 'Ghee Masala', 'Butter Paper Plain Roast', 'Ghee Paper Plain', 'Mysore Masala Dosa', 'Chilli Cheese Dosa', 'Cheese Dosa', 'Cheese Masala Dosa', 'Paper Masala Dosa', 'Podi Dosa', 'Podi Masala Dosa', 'Ghee Podi Masala Dosa', 'Rava Dosa', 'Rava Onion Dosa', 'Rava Masala Dosa', 'Ghee Rava Dosa', 'Onion Uttapam', 'Plain Uttapam', 'Tomato Onion Uttapam', 'Apple Milkshake', 'Pomegranate Milkshake', 'Lemon Juice', 'Mosambi Juice', 'Orange Juice', 'Grapes Juice', 'Pineapple Juice', 'Papaya Juice', 'Water Melon Juice', 'Musk Melon Juice', 'Lussy', 'Butter Milk']",Dine-out,Banashankari
Hotel New Karavali,Yes,No,3.8,133,Banashankari,Quick Bites,"Mangalorean, South Indian, North Indian",300,"['Chicken Meal', 'Fish Meal', 'Special Meal', 'Egg Fried Rice', 'Chicken Fried Rice', 'Egg Biryani', 'Chicken Biryani', 'Chicken Chilly', 'Boneless Chicken Chilly', 'Chicken Manchurian', 'Chicken Kabab', 'Guntur Chicken', 'Chicken Hyderabadi', 'Chicken Sukka', 'Kori Roti Curry', 'Bangada Tava', 'Bangada Masala', 'Crab Sukka', 'Chicken Meal', 'Fish Meal', 'Special Meal', 'Paneer Manchurian', 'Paneer Chilly', 'Paneer 65', 'Mushroom Chilly', 'Mushroom Dry', 'Baby Corn Chilly', 'Baby Corn Dry', 'Baby Corn Manchurian', 'Egg Bhurji', 'Egg Omelette', 'Boiled Egg', 'Chicken Pepper Dry', 'Boneless Chicken Pepper Dry', 'Chicken Chilly', 'Boneless Chicken Chilly', 'Chicken 65', 'Boneless Chicken 65', 'Chicken Manchurian', 'Boneless Chicken Manchurian', 'Lemon Chicken', 'Boneless Lemon Chicken', 'Garlic Chicken', 'Boneless Garlic Chicken', 'Ginger Chicken', 'Boneless Ginger Chicken', 'Chicken Kabab', 'Chicken Fry', 'Pudina Chicken', 'Guntur Chicken', 'Paneer Butter Masala', 'Paneer Tikka Masala', 'Tomato Curry', 'Veg Korma', 'Mushroom Masala', 'Simla Masala', 'Egg Masala', 'Chicken Hyderabadi', 'Chicken Kadai', 'Chicken Tikka Masala', 'Chicken Kolhapuri', 'Chicken Butter Masala', 'Chicken Handi', 'Chicken Masala', 'Chapati', 'Paratha', 'Jeera Rice', 'Ghee Rice', 'Curd Rice', 'Plain Rice', 'Biryani Rice', 'Egg Biryani', 'Chicken Biryani', 'Bangada Tava', 'Bangada Masala', 'Bangada in Oil', 'Mathi Tava [4 Pieces]', 'Mathi Rava [4 Pieces]', 'Silver Rava Fry', 'Anjal Tava [2 Pieces]', 'Rava Fry [2 Pieces]', 'Crab Sukka', 'Crab Fry', 'Prawns Chilli', 'Prawns Sukka', 'Prawns Pepper Dry', 'Chicken Sukka', 'Neerdose Curry', 'Kori Roti Curry', 'Kundapura Chicken Masala', 'Veg Fried Rice', 'Egg Fried Rice', 'Chicken Fried Rice']",Dine-out,Banashankari
McDonald's,Yes,No,3.9,286,Banashankari,Quick Bites,"Burger, Fast Food",500,"['New Chicken Maharaja Mac', 'Veg Maharaja Mac', 'McSpicy Chicken', 'McSpicy Paneer', 'McChicken', 'American Cheese Supreme - Veg', 'McVeggie', 'McAloo Tikki', 'Mexican cheesy Fries', 'Fries', 'Choco hazelnut Shake', 'Oreo Cookie & Cream Shake', 'Salsa Chicken Burger', 'Salsa Cheesy Masala Wedges', 'Salsa Bean Burger', 'Green Chilli Chicken Kebab Naan', 'Green Chilli Aloo Naan', 'Big Spicy Chicken Wrap', 'New Chicken Maharaja Mac', 'Big Spicy Paneer Wrap', 'Veg Maharaja Mac', 'McSpicy Paneer with Whole Wheat Bun', 'McSpicy Chicken', 'McSpicy Paneer', 'American Cheese Supreme - Chicken Whole Wheat Bun', 'American Cheese Supreme - Chicken', 'Salsa Chicken Burger with Whole Wheat Bun', 'Salsa Chicken Burger', 'American Cheese Supreme - Veg with Whole Wheat Bun', 'McChicken with Whole Wheat Bun', 'Salad Wrap', 'Salsa Bean Burger', 'McChicken', 'American Cheese Supreme - Veg', 'McVeggie with Whole Wheat Bun', 'McVeggie', 'Chicken Kebab with Whole Wheat Bun', 'McEgg Burger', 'Chicken Kebab Burger', 'Chicken Kebab Wrap', 'Green Chilli Chicken Kebab Naan', 'McAloo Tikki', 'Mexican Aloo wrap', 'Green Chilli Aloo Naan', 'Mexican McAloo Tikki with Whole Wheat Bun', 'McEgg with Whole Wheat Bun', 'Mexican McAlooTikki', 'McAloo Tikki with Whole Wheat Bun', 'Choco hazelnut Shake', 'Oreo Cookie & Cream Shake', 'McSpicy Chicken with Whole Wheat Bun', 'McSpicy Paneer with Whole Wheat Bun', 'Share Shakes', 'Shakes', 'American Cheese Supreme - Chicken Whole Wheat Bun', 'American Cheese Supreme - Chicken', 'McCafe Hot coffee', 'Salsa Bean Burger with Whole Wheat Bun', 'McChicken with Whole Wheat Bun', 'American Cheese Supreme - Veg with Whole Wheat Bun', 'Mexican cheesy Fries', 'American Cheese Supreme - Veg', 'McVeggie with Whole Wheat Bun', 'Mccafe Muffins', 'Chicken Kebab with Whole Wheat Bun', 'Green Chilli Chicken Kebab Naan', 'Chicken Kebab Burger', 'Chicken Kebab Wrap', 'Chicken Strips', 'Mexican Aloo wrap', 'Mexican McAloo Tikki with Whole Wheat Bun', 'Green Chilli Aloo Naan', 'McEgg with Whole Wheat Bun', 'Mexican McAlooTikki', 'Masala Wedges', 'McAloo Tikki with Whole Wheat Bun', 'Big Spicy Chicken', 'New Chicken Maharaja Mac', 'Big Spicy Paneer', 'Veg Maharaja Mac', 'McSpicy Paneer', 'McSpicy Chicken', 'Chicken McNuggets', 'Salsa Bean Burger with Whole Wheat Bun', 'American Cheese Supreme - Chicken', 'Salsa Chicken Burger with Whole Wheat Bun', 'Salsa Chicken Burger', 'Salad Wrap', 'Salsa Bean Burger', 'McChicken', 'American Cheese Supreme - Veg', 'McVeggie', 'Chicken Kebab Burger', 'Chicken Kebab Wrap', 'Green Chilli Chicken Kebab Naan', 'Mexican Aloo wrap', 'Green Chilli Aloo Naan', 'Mexican McAlooTikki', 'Wheat Bun Meals', 'American Cheese Supreme - Chicken', 'Salsa Chicken Burger', 'Salsa Bean Burger', 'McChicken', 'American Cheese Supreme - Veg', 'McVeggie', 'Chicken Strips', 'Wheat Bun Happy Meals', 'McAloo Tikki', 'Pizza McPuff', 'Masala Wedges', 'Sharing Pack 3', 'Sharing Pack 2', 'Rice Bowls', 'Rice Bowl Combos', 'Rice Meals', 'McNuggets', 'Mexican cheesy Fries', 'Salsa Cheesy Masala Wedges', 'Chicken Strips', 'McWings', 'Fries', 'Pizza McPuff', 'Masala Wedges', 'Piri piri', 'Veg Dips', 'McWings', 'Smoothie', 'Double Chocolate Frappe', 'McCafe Frappe', 'Oreo Cookie & Cream Shake', 'McCafe Classic Coffee', 'McCafe Ice Coffee', 'McCafe Ice Tea', 'Shakes', 'Coke', 'Fanta', 'Sprite', 'Thums Up', 'Schweppes Water', 'Smoothies', 'Double Chocolate Frappe', 'McCafe Frappe', 'McCafe Pastries', 'McCafe Classic Coffee', 'Share Shakes', 'McCafe Ice Coffee', 'McCafe Lemon Ice Tea', 'McCafe Green Apple Tea', 'McCafe Strawberry Ice Tea', 'Chocolate Based', 'Hot Tea', 'McCafe Hot coffee', 'Hot Coffee', 'McCafe Slice Cakes', 'McCafe Pastry', 'McCafe Slice Cake', 'McCafe Muffins', 'Black Forest McFlurry', 'Soft Serve Hot Fudge', 'Soft Serve Strawberry', 'McFlurry Choco Crunch', 'McFlurry Oreo']",Dine-out,Banashankari
Sri Laxmi Venkateshwara Coffee Bar,No,No,4.4,343,Banashankari,Quick Bites,South Indian,100,[],Dine-out,Banashankari
Bhattara Bhojana,Yes,No,3.6,66,Banashankari,Quick Bites,South Indian,150,"['Meal', 'Special Meal', 'Rice with Sambar', 'Rice with Rasam', 'Rice with Chapathi', 'Rice with Tambuli', 'Puliyogare [250 grams]', 'Meal', 'Special Meal', 'Rice with Sambar', 'Rice with Rasam', 'Rice with Chapathi', 'Rice with Tambuli', 'Puliyogare [250 grams]', 'Rice [250 grams]', 'Rasam [250 ml]', 'Sambar [250 ml]', 'Tambuli [250 ml]', 'Curd [250 ml]', 'Palya [250 grams]', 'Kosambari [250 grams]', 'Sagu [250 grams]', '2 Chapathi', '2 Chapati with Sagu', 'Papad [1 Piece]', 'Bele Holige [1 Piece]', 'Kayi Holige [1 Piece]', 'Jahangir [1 Piece]', 'Mysore Pak [1 Piece]', 'Payasa [250 grams]']",Dine-out,Banashankari
Davanagere Benne Dose Hut,Yes,No,3.4,10,Banashankari,Quick Bites,South Indian,100,[],Dine-out,Banashankari
Utsav Restaurant,Yes,No,3.8,61,Banashankari,Quick Bites,"North Indian, Chinese",300,[],Dine-out,Banashankari
Messy Bowl,No,No,3.8,70,Banashankari,Quick Bites,"Fast Food, Beverages",500,[],Dine-out,Banashankari
Devanna Dum Biriyani Centre,Yes,No,3.6,28,Banashankari,Quick Bites,"Biryani, South Indian",300,"['Biryani Rice', 'Chicken Pepper Dry', 'Chilli Chicken', 'Chicken Lollipop', 'Chicken Kebab [1 Piece]', 'Mutton Fry', 'Chicken Biryani', 'Mutton Biryani', 'Chicken Masala', 'Guntur Chicken', '2 Eggs', 'Chicken Fry', 'Lemon Chicken', 'Chicken Pepper Dry', 'Pudina Chicken', 'Chilli Chicken', 'Chicken Lollipop', 'Chicken Kebab [1 Piece]', 'Mutton Fry', 'Mutton Dry', 'Mutton Pepper', 'Boti Fry', 'Boti Dry', 'Egg Boti Fry', 'Thale Mamsha', 'Thale Mamsha Fry', 'Thale Mamsha Pepper', 'Egg Masala', 'Chicken Masala', 'Guntur Chicken', 'Mutton Masala', 'Boti Masala', '2 Ragi Balls', 'Biryani Rice', 'White Rice', 'Chicken Biryani', 'Mutton Biryani']",Dine-out,Banashankari
Janahaar,Yes,No,3.8,70,Banashankari,Quick Bites,South Indian,100,"['2 Idly', 'Rice Sambar', 'Curd Rice', '2 Idly', 'Kharabath']",Dine-out,Banashankari
Stop 'N' Joy,Yes,No,3.8,28,Banashankari,Quick Bites,Fast Food,150,"['Veg Cheese Burger', 'Egg Burger', 'Chicken Burger', 'Chicken Cheese Burger', 'Chicken Butter Cheese Burger', 'Veg Sandwich with Cutlet', 'Veg Cheese Butter Sandwich', 'Egg Sandwich', 'Chicken Sandwich', 'Egg Chicken Cheese Sandwich', 'Bun Samosa with Cheese and Mayo', 'Bun Chicken Egg with Cheese', 'Maggi Cheese Mayo', 'Maggi Cheese', 'Kitkat Shake', 'Snicker Shake', 'Veg Burger', 'Veg Butter Burger', 'Veg Cheese Burger', 'Egg Burger', 'Egg Butter Burger', 'Egg Cheese Burger', 'Egg Butter Cheese Burger', 'Chicken Burger', 'Chicken Butter Burger', 'Chicken Cheese Burger', 'Chicken Butter Cheese Burger', 'Chilli Cheese Sandwich', 'Capsicum Cheese Sandwich', 'Onion Cheese Sandwich', 'Mayo Cheese Sandwich', 'Veg Sandwich', 'Veg Sandwich with Cutlet', 'Veg Butter Sandwich', 'Veg Cheese Butter Sandwich', 'Egg Sandwich', 'Egg Butter Sandwich', 'Egg Cheese Sandwich', 'Egg Cheese Butter Sandwich', 'Chicken Sandwich', 'Egg Chicken Cheese Sandwich', 'Bun Veg Cutlet', 'Bun Butter Veg Cutlet', 'Bun Samosa with Mayo', 'Bun Samosa with Cheese and Mayo', 'Bun Omelette with Mayo', 'Boiled Egg', 'Egg Dim Butter Bun Mayo', 'Bun Half Boiled', 'Bun Chicken Cutlet', 'Bun Chicken with Egg', 'Bun Chicken Egg with Cheese', 'Maggi', 'Maggi Cheese Mayo', 'Maggi Cheese', 'Lime Juice', 'Musambi Juice', 'Watermelon Juice', 'Apple Milkshake', 'Chikku Milkshake', 'Banana Milkshake', 'Anar Milkshake', 'Musk Melon Milkshake', 'Vanilla Ice cream Shake', 'Strawberry Ice cream Shake', 'Chocolate Ice cream Shake', 'Butterscotch Ice cream Shake', 'Pudina Lime', 'Ginger Lime', 'Mint Lime', 'Litchi Crush Shake', 'Black Current Crush Shake', 'Strawberry Crush Shake', 'Lime Soda', 'Mint Lime Soda', 'Ginger Lime Soda', 'Strawberry Soda', 'Ice Tea Soda', 'Pudina Lime Soda', 'Oreo Shake', 'Strawberry Oreo Shake', 'Cold Coffee Shake', 'Black Current Shake', 'Butterscotch Shake', 'Apple with Date Shake', 'Anjeer Shake', 'Dates Shake', 'Badam Shake', 'Cashew Shake', 'Dry Fruit Mix', 'Sharja Shake', 'Kitkat Shake', 'Snicker Shake', 'Cold Boost', 'Cold Horlicks', 'Dark Fantasy Shake']",Dine-out,Banashankari
Dodda Mane Baaduta,Yes,No,3.5,15,Banashankari,Quick Bites,"North Indian, South Indian, Chinese, Biryani",250,[],Dine-out,Banashankari
Chickpet Donne Biryani House,Yes,No,3.8,131,Banashankari,Quick Bites,Biryani,250,"['Donne Biryani Rice', 'Donne Chicken Biryani', 'Donne Kshatriya Kabab Biryani', 'Kshatriya Kabab', 'Boiled Egg', 'Maratha Chilli Chicken', 'Guntur Chicken', 'Chicken Pepper Dry', 'Chicken Lollypop', 'Mutton Fry', 'Kshatriya Kabab', 'Donne Biryani Rice', 'Donne Egg Biryani', 'Donne Chicken Biryani', 'Donne Kshatriya Kabab Biryani']",Dine-out,Banashankari
Brahmin Cafe,No,No,3.8,19,Banashankari,Quick Bites,South Indian,150,[],Dine-out,Banashankari
Chumma Delicious,Yes,No,3.7,237,Banashankari,Quick Bites,"South Indian, Fast Food",200,"['Egg Masala', 'Egg Bhurji']",Dine-out,Banashankari
Udupi Upachar,Yes,No,3.3,6,Banashankari,Quick Bites,"South Indian, North Indian",500,"['Gobi Manchurian', 'Mushroom Manchurian', 'Roti Curry Meals', 'Butter Roti Meals', 'Roti Curry Meals', 'Butter Roti Meals', 'Naan Curry Meals', 'Kulcha Curry Meals', 'Mini Meals', 'North Meals', 'South Meal', 'Tomato Soup', 'Veg Sweet Corn Soup', 'Gobi Manchurian', 'Baby Corn Manchurian', 'Paneer Manchurian', 'Mushroom Manchurian', 'Spanish Manchurian', 'Vegetable Manchurian', 'Paneer Shangai', 'Mushroom Shanghai', 'Gobi Shanghai', 'Chinese Bhel', 'Gobi Chilli', 'Baby Corn Chilli', 'Veg Ball Chilli', 'Mushroom Chilli', 'Paneer Chilli', 'Gobi 65', 'Mushroom 65', 'Paneer 65', 'Paneer Pepper Dry', 'Mushroom Pepper Dry', 'Paneer Pepper Chilli Dry', 'Paneer Tikka Dry', 'Dal Fry', 'Dal Tadka', 'Dal Makhani', 'Paneer Butter Masala', 'Paneer Masala', 'Matar Masala', 'Aloo Gobhi Dry', 'Aloo Jeera Dry', 'Aloo Gobi Masala', 'Aloo Tomato Masala', 'Kaju Masala', 'Kaju Butter Masala', 'Paneer TIkka Masala', 'Plain Palak', 'Palak Paneer', 'Mixed Vegetable Curry', 'Malai Kofta', 'Paneer Kofta', 'Chana Masala', 'Aloo Matar', 'Paneer Bhurji', 'Veg Hyderabadi', 'Veg Kolhapuri', 'Veg Kadai', 'Veg Pepper Masala', 'Paneer Kadai', 'Mushroom Kadai', 'Mushroom Masala', 'Navratan Korma', 'Roti', 'Butter Roti', 'Kulcha', 'Naan', 'Butter Kulcha', 'Butter Naan', 'Paratha', 'Stuffed Paratha', 'Aloo Paratha', 'Plain Dosa', 'Ghee Roast Plain', 'Masala Dosa', 'Ghee Roast Masala', 'Set Dosa', 'Onion Dosa', 'Rava Dosa', 'Rava Masala Dosa', 'Rava Onion Dosa', 'Rava Onion Masala Dosa', 'Butter Plain Dosa', 'Butter Masala Dosa', 'Cheese Plain Dosa', 'Cheese Masala Dosa', 'Khali Dosa', 'Neer Dosa', 'Open Butter Masala Dosa', 'Paper Plain Dosa', 'Paper Masala Dosa', ""Today's Special Dosa"", 'Akki Roti', 'Raagi Roti', 'Palak Rice', 'Dal Khichdi', 'Palak Khichdi', 'Single Idli', 'Idli [2 Peices]', 'Idli and Vada', 'Single Idli Vada', 'Uddina Vada', 'Khara Bath', 'Kesari Bath', 'Chow Chow Bath', 'Rava Idli', 'Rice Bath', 'Poori', 'Dahi Vada', 'Bajji', 'Mangalore Buns [2 Peices]', 'Bisi Bele Bath', 'Veg Grilled Sandwich', 'Veg Plain Sandwich', 'Cheese Grilled Sandwich', 'Grilled Mission Sandwich', 'Corn Sandwich', 'Mushroom Grilled Sandwich', 'Chilli Cheese Sandwich', 'Paneer Grilled Sandwich', 'Bread Butter Jam Sandwich', 'Bread Butter Jam Toast Sandwich', 'Green Salad', 'Roasted Papad', 'Fried Papad', 'Masala Papad', 'Carrot Halwa', 'Gulab Jamun [2 Pieces]', 'Fruit Salad', 'Fruit Salad with Ice Cream', 'Vanilla Cone Ice Cream', 'Strawberry Cone Ice Cream', 'Chocolate Ice Cream', 'Strawberry Ice Cream', 'Pista Ice Cream', 'Butterscotch Ice Cream', 'Mango Ice Cream', 'Choco Chip Ice Cream', 'Tutti Frutti Ice Cream', 'Vanilla Ice Cream Milkshake', 'Strawberry Ice Cream Milkshake', 'Chocolate Ice Cream Milkshake', 'Pista Ice Cream Milkshake', 'Butterscotch Ice Cream Milkshake', 'Golden Cherry Ice Cream Milkshake', 'Gud Bud Ice Cream Milkshake', 'Honey Moon Special Ice Cream Milkshake', 'Falooda Ice Cream Milkshake', 'Special Ice Cream Milkshake', 'New Udupi Upachar Ice Cream Milkshake', 'Sweet Lassi', 'Salt Lassi', 'Cold Badam Milk', 'Buttermilk', 'Cold Coffee', 'Tea', 'Coffee', 'Badam Milk', 'Boost', 'Lemon Juice', 'Pudina Lime Juice', 'Lemon Soda Juice', 'Pineapple Juice', 'Mosambi Juice', 'Solid Watermelon Juice', 'Anar Juice', 'Grape Juice', 'Orange Juice', 'Solid Orange Juice', 'Apple Milkshake', 'Anar Milkshake', 'Mango Milkshake', 'Sapota Milkshake', 'Banana Milkshake', 'Butter Fruit Milkshake']",Dine-out,Banashankari
