name,online_order,book_table,rate,votes,location,rest_type,cuisines,approx_cost(for two people),listed_in(type),listed_in(city),rating_votes_score,cuisine_category,rest_type_category,first_cuisine_category
Waffle House,Yes,No,3.6,28.0,Marathahalli,Dessert Parlor,Desserts,300.0,Delivery,Brookefield,100.8,Desserts & Sweets,Dessert & Beverage Shops,Desserts & Sweets
Bismillah Bawarchi,Yes,No,3.6,42.0,Brookefield,Quick Bites,"North Indian, Chinese, Biryani",300.0,Delivery,Brookefield,151.20000000000002,North Indian & Mughlai Cuisine,Quick Bites & Takeaway,North Indian & Mughlai Cuisine
Food Factory,Yes,No,3.4,8.0,Marathahalli,"Takeaway, Delivery",North Indian,400.0,Delivery,Brookefield,27.2,North Indian & Mughlai Cuisine,Quick Bites & Takeaway,North Indian & Mughlai Cuisine
Kamakshi Kitchen,Yes,No,3.7,28.0,Marathahalli,Quick Bites,"Chinese, South Indian",350.0,Delivery,Brookefield,103.60000000000001,South Indian Traditional,Quick Bites & Takeaway,Chinese & Pan-Asian Delights
Andhra Star Biryani,Yes,No,3.2,6.0,Brookefield,Quick Bites,Biryani,200.0,Delivery,Brookefield,19.200000000000003,Biryani & Andhra Cuisine,Quick Bites & Takeaway,Biryani & Andhra Cuisine
Khane Ka Khazana,Yes,No,3.5,17.0,"ITPL Main Road, Whitefield",Quick Bites,North Indian,250.0,Delivery,Brookefield,59.5,North Indian & Mughlai Cuisine,Quick Bites & Takeaway,North Indian & Mughlai Cuisine
D'Brooks,Yes,No,3.4,8.0,Brookefield,Quick Bites,"North Indian, Continental",400.0,Delivery,Brookefield,27.2,North Indian & Mughlai Cuisine,Quick Bites & Takeaway,North Indian & Mughlai Cuisine
Andhra Vindu Multi Cuisine Restaurant,Yes,No,3.3,11.0,Marathahalli,Casual Dining,"Andhra, South Indian, Fast Food",600.0,Delivery,Brookefield,36.3,South Indian Traditional,Casual Dining & Bar,Biryani & Andhra Cuisine
The Red Tandoor,Yes,No,3.3,6.0,Marathahalli,Quick Bites,"Chinese, North Indian",400.0,Delivery,Brookefield,19.799999999999997,North Indian & Mughlai Cuisine,Quick Bites & Takeaway,Chinese & Pan-Asian Delights
Smoor,Yes,No,3.7,16.0,Whitefield,Dessert Parlor,"Desserts, Beverages",900.0,Delivery,Brookefield,59.2,Desserts & Sweets,Dessert & Beverage Shops,Desserts & Sweets
Mother's Food,Yes,No,3.9,62.0,Whitefield,Quick Bites,"North Indian, Chinese",200.0,Delivery,Brookefield,241.79999999999998,North Indian & Mughlai Cuisine,Quick Bites & Takeaway,North Indian & Mughlai Cuisine
Aahar Vihar,Yes,No,4.0,68.0,Marathahalli,Quick Bites,North Indian,250.0,Delivery,Brookefield,272.0,North Indian & Mughlai Cuisine,Quick Bites & Takeaway,North Indian & Mughlai Cuisine
SGS Non Veg - Gundu Pulav,Yes,No,3.7,11.0,"Varthur Main Road, Whitefield","Takeaway, Delivery",South Indian,300.0,Delivery,Brookefield,40.7,South Indian Traditional,Quick Bites & Takeaway,South Indian Traditional
Chef Delicacies,Yes,No,2.7,6.0,"Varthur Main Road, Whitefield","Takeaway, Delivery","Kebab, Rolls, Charcoal Chicken",400.0,Delivery,Brookefield,16.200000000000003,Street Food & Snacks,Quick Bites & Takeaway,Global Fusion & Others
Carlos Cake Cafe,Yes,No,3.3,7.0,Marathahalli,Bakery,"Bakery, Desserts",300.0,Delivery,Brookefield,23.099999999999998,Desserts & Sweets,Cafe & Bakery,Desserts & Sweets
The Andhra Bhojanam,Yes,No,3.2,4.0,"ITPL Main Road, Whitefield",Bhojanalya,South Indian,300.0,Delivery,Brookefield,12.8,South Indian Traditional,Others,South Indian Traditional
Lassi Magic,Yes,No,3.5,12.0,Marathahalli,Quick Bites,"Beverages, Sandwich",150.0,Delivery,Brookefield,42.0,Street Food & Snacks,Quick Bites & Takeaway,Desserts & Sweets
MealBox Inc.,Yes,No,4.0,34.0,Marathahalli,Casual Dining,North Indian,800.0,Delivery,Brookefield,136.0,North Indian & Mughlai Cuisine,Casual Dining & Bar,North Indian & Mughlai Cuisine
Hasee-E-Shan Makers Of Biryani,Yes,No,3.5,15.0,Whitefield,Casual Dining,"Biryani, Mughlai, North Indian",500.0,Delivery,Brookefield,52.5,North Indian & Mughlai Cuisine,Casual Dining & Bar,Biryani & Andhra Cuisine
Cafe Noir,Yes,No,3.4,4.0,Whitefield,Casual Dining,"European, French, Salad",1500.0,Delivery,Brookefield,13.6,Health & Nutrition,Casual Dining & Bar,Global Fusion & Others
Rajwada Food,Yes,No,3.5,16.0,Marathahalli,Quick Bites,North Indian,300.0,Delivery,Brookefield,56.0,North Indian & Mughlai Cuisine,Quick Bites & Takeaway,North Indian & Mughlai Cuisine
Kingley Grand,Yes,No,3.5,11.0,Marathahalli,Casual Dining,"Biryani, North Indian, Chinese",600.0,Delivery,Brookefield,38.5,North Indian & Mughlai Cuisine,Casual Dining & Bar,Biryani & Andhra Cuisine
Spicy Onion,Yes,No,3.6,30.0,Whitefield,Casual Dining,"North Indian, Chinese",400.0,Delivery,Brookefield,108.0,North Indian & Mughlai Cuisine,Casual Dining & Bar,North Indian & Mughlai Cuisine
Fusion Panda,Yes,No,3.5,10.0,Whitefield,"Casual Dining, Quick Bites","North Indian, Kebab",300.0,Delivery,Brookefield,35.0,North Indian & Mughlai Cuisine,Quick Bites & Takeaway,North Indian & Mughlai Cuisine
Potpourri Kitchen,Yes,No,3.6,11.0,Marathahalli,Casual Dining,"South Indian, Mughlai, North Indian, Beverages",500.0,Delivery,Brookefield,39.6,North Indian & Mughlai Cuisine,Casual Dining & Bar,South Indian Traditional
RPS Food Corner,Yes,No,3.2,7.0,Marathahalli,Quick Bites,"North Indian, Chinese, Bengali, Biryani",400.0,Delivery,Brookefield,22.400000000000002,North Indian & Mughlai Cuisine,Quick Bites & Takeaway,North Indian & Mughlai Cuisine
New Shanthi Sagar,Yes,No,3.8,15.0,"Varthur Main Road, Whitefield","Takeaway, Delivery","South Indian, North Indian, Chinese, Street Food",300.0,Delivery,Brookefield,57.0,North Indian & Mughlai Cuisine,Quick Bites & Takeaway,South Indian Traditional
Kalinga Delicacies Restaurant,Yes,No,3.1,11.0,Brookefield,Casual Dining,"North Indian, Bengali, Oriya",400.0,Delivery,Brookefield,34.1,North Indian & Mughlai Cuisine,Casual Dining & Bar,North Indian & Mughlai Cuisine
Maa Durga Restaurant,Yes,No,3.2,4.0,Whitefield,Quick Bites,North Indian,300.0,Delivery,Brookefield,12.8,North Indian & Mughlai Cuisine,Quick Bites & Takeaway,North Indian & Mughlai Cuisine
Amaravati Food Court,Yes,No,3.4,6.0,Whitefield,Quick Bites,Kerala,300.0,Delivery,Brookefield,20.4,Global Fusion & Others,Quick Bites & Takeaway,Global Fusion & Others
Maashpacheez,Yes,No,3.6,17.0,Marathahalli,Quick Bites,"North Indian, Chinese, South Indian",300.0,Delivery,Brookefield,61.2,North Indian & Mughlai Cuisine,Quick Bites & Takeaway,North Indian & Mughlai Cuisine
The Spice Pavillion,Yes,No,3.7,125.0,Marathahalli,Casual Dining,North Indian,600.0,Delivery,Brookefield,462.5,North Indian & Mughlai Cuisine,Casual Dining & Bar,North Indian & Mughlai Cuisine
Jalsa,Yes,Yes,4.2,2173.0,Marathahalli,Casual Dining,"North Indian, Mughlai",1500.0,Delivery,Brookefield,9126.6,North Indian & Mughlai Cuisine,Casual Dining & Bar,North Indian & Mughlai Cuisine
Tastybites.com,Yes,No,3.7,82.0,Brookefield,Quick Bites,"Fast Food, Sandwich, South Indian",150.0,Delivery,Brookefield,303.40000000000003,South Indian Traditional,Quick Bites & Takeaway,Street Food & Snacks
Apoorva Multi Cuisine Restaurant,Yes,No,3.9,236.0,Brookefield,Casual Dining,"North Indian, South Indian, Chinese, Andhra, Biryani",750.0,Delivery,Brookefield,920.4,North Indian & Mughlai Cuisine,Casual Dining & Bar,North Indian & Mughlai Cuisine
Kaafi Desi,Yes,No,4.1,515.0,Marathahalli,Quick Bites,"North Indian, Street Food",150.0,Delivery,Brookefield,2111.5,North Indian & Mughlai Cuisine,Quick Bites & Takeaway,North Indian & Mughlai Cuisine
Gaura's Secret Recipe,Yes,No,3.8,31.0,Marathahalli,Delivery,"North Indian, Gujarati, Rajasthani",250.0,Delivery,Brookefield,117.8,North Indian & Mughlai Cuisine,Delivery Only,North Indian & Mughlai Cuisine
Spicy House,Yes,No,3.7,95.0,Marathahalli,Quick Bites,"North Indian, Chinese, Seafood, Biryani",500.0,Delivery,Brookefield,351.5,North Indian & Mughlai Cuisine,Quick Bites & Takeaway,North Indian & Mughlai Cuisine
Crunchie Corner,Yes,No,4.0,44.0,Brookefield,Quick Bites,"Fast Food, Continental, Desserts",450.0,Delivery,Brookefield,176.0,Street Food & Snacks,Quick Bites & Takeaway,Street Food & Snacks
Namak Swad Anusaar,Yes,No,3.8,155.0,Marathahalli,Quick Bites,"North Indian, Chinese, Biryani, Rolls",400.0,Delivery,Brookefield,589.0,North Indian & Mughlai Cuisine,Quick Bites & Takeaway,North Indian & Mughlai Cuisine
Shaadi Ki Biryani,Yes,No,2.6,22.0,"Varthur Main Road, Whitefield","Takeaway, Delivery","Biryani, Charcoal Chicken",600.0,Delivery,Brookefield,57.2,Biryani & Andhra Cuisine,Quick Bites & Takeaway,Biryani & Andhra Cuisine
The Pallavas ( Authentic Taste Of Southern Cuisine ),Yes,No,3.7,24.0,Brookefield,Quick Bites,South Indian,400.0,Delivery,Brookefield,88.80000000000001,South Indian Traditional,Quick Bites & Takeaway,South Indian Traditional
Pita Pocket Factory,Yes,No,3.6,27.0,Brookefield,Casual Dining,"Mediterranean, Continental, Italian, Burger",500.0,Delivery,Brookefield,97.2,Street Food & Snacks,Casual Dining & Bar,Global Fusion & Others
The London Shakes,Yes,No,4.1,31.0,Marathahalli,Quick Bites,"Fast Food, Beverages",300.0,Delivery,Brookefield,127.1,Street Food & Snacks,Quick Bites & Takeaway,Street Food & Snacks
Food Square,Yes,No,3.6,16.0,Marathahalli,Quick Bites,"Fast Food, Chinese",200.0,Delivery,Brookefield,57.6,Chinese & Pan-Asian Delights,Quick Bites & Takeaway,Street Food & Snacks
Aashirvaad Restaurant,Yes,No,3.1,249.0,Marathahalli,Quick Bites,"North Indian, Oriya, Chinese",300.0,Delivery,Brookefield,771.9,North Indian & Mughlai Cuisine,Quick Bites & Takeaway,North Indian & Mughlai Cuisine
Beyond Elements,Yes,Yes,4.1,859.0,Whitefield,"Casual Dining, Cafe","Cafe, Italian, Pizza, North Indian",900.0,Delivery,Brookefield,3521.8999999999996,North Indian & Mughlai Cuisine,Casual Dining & Bar,Continental & Cafe Culture
Salt Mango Tree,Yes,No,4.3,517.0,Whitefield,Casual Dining,Kerala,1000.0,,,2223.1,Global Fusion & Others,Casual Dining & Bar,Global Fusion & Others
Mr Manchurian,Yes,No,3.6,198.0,Marathahalli,Food Court,"Chinese, Momos",500.0,Delivery,Brookefield,712.8000000000001,Chinese & Pan-Asian Delights,Food Court & Lounge,Chinese & Pan-Asian Delights
Daily Sushi,Yes,No,3.5,16.0,Marathahalli,Quick Bites,"Korean, Sushi",900.0,Delivery,Brookefield,56.0,Chinese & Pan-Asian Delights,Quick Bites & Takeaway,Global Fusion & Others
Golkonda Chimney,Yes,Yes,3.7,1813.0,Marathahalli,Casual Dining,"Biryani, North Indian, Mughlai",850.0,Delivery,Brookefield,6708.1,North Indian & Mughlai Cuisine,Casual Dining & Bar,Biryani & Andhra Cuisine
Thalis Of India,Yes,No,3.3,18.0,Whitefield,Delivery,"South Indian, North Indian, Beverages",500.0,Delivery,Brookefield,59.4,North Indian & Mughlai Cuisine,Delivery Only,South Indian Traditional
Crazy Crush - Juices & Desserts Cafe,Yes,No,3.4,9.0,Whitefield,Beverage Shop,"Beverages, Ice Cream, Fast Food",300.0,Delivery,Brookefield,30.599999999999998,Street Food & Snacks,Dessert & Beverage Shops,Desserts & Sweets
Odisha Kitchen,Yes,No,3.1,95.0,Marathahalli,Quick Bites,"Oriya, North Indian, Chinese",500.0,Delivery,Brookefield,294.5,North Indian & Mughlai Cuisine,Quick Bites & Takeaway,Global Fusion & Others
Rolls & Bowls,Yes,No,4.4,143.0,Brookefield,Quick Bites,"Rolls, Chinese",250.0,Delivery,Brookefield,629.2,Chinese & Pan-Asian Delights,Quick Bites & Takeaway,Street Food & Snacks
Not Just Waffles,Yes,No,4.1,120.0,Brookefield,Dessert Parlor,"Desserts, Ice Cream",400.0,Delivery,Brookefield,491.99999999999994,Desserts & Sweets,Dessert & Beverage Shops,Desserts & Sweets
Swadist Restaurant,Yes,No,3.6,53.0,Marathahalli,Quick Bites,"Oriya, Chinese, North Indian",300.0,Delivery,Brookefield,190.8,North Indian & Mughlai Cuisine,Quick Bites & Takeaway,Global Fusion & Others
Sri Lakshmi Vaibhav,Yes,No,4.0,156.0,Whitefield,Casual Dining,"South Indian, North Indian, Chinese",500.0,Delivery,Brookefield,624.0,North Indian & Mughlai Cuisine,Casual Dining & Bar,South Indian Traditional
King Of Spices,Yes,No,3.7,25.0,Whitefield,Casual Dining,"South Indian, North Indian, Chinese, Biryani, Beverages",500.0,Delivery,Brookefield,92.5,North Indian & Mughlai Cuisine,Casual Dining & Bar,South Indian Traditional
Wangs Kitchen,Yes,No,3.0,382.0,Marathahalli,Casual Dining,Chinese,1000.0,Delivery,Brookefield,1146.0,Chinese & Pan-Asian Delights,Casual Dining & Bar,Chinese & Pan-Asian Delights
Sri Jayadurga Biryani,Yes,No,3.7,38.0,Marathahalli,"Takeaway, Delivery",Biryani,300.0,Delivery,Brookefield,140.6,Biryani & Andhra Cuisine,Quick Bites & Takeaway,Biryani & Andhra Cuisine
Brooks 37,Yes,Yes,4.1,237.0,Brookefield,"Casual Dining, Bar","North Indian, Continental, Asian, Pizza",1000.0,Delivery,Brookefield,971.6999999999999,North Indian & Mughlai Cuisine,Casual Dining & Bar,North Indian & Mughlai Cuisine
Meena's Kitchen,Yes,No,3.5,10.0,Marathahalli,Delivery,"Continental, North Indian, Mexican",400.0,Delivery,Brookefield,35.0,North Indian & Mughlai Cuisine,Delivery Only,Continental & Cafe Culture
The Deli - The Den Bengaluru,Yes,No,3.7,23.0,"ITPL Main Road, Whitefield",Bakery,"Bakery, Desserts",600.0,Delivery,Brookefield,85.10000000000001,Desserts & Sweets,Cafe & Bakery,Desserts & Sweets
The North and South Restaurant,Yes,No,3.2,15.0,Whitefield,"Takeaway, Delivery","North Indian, Chinese, South Indian",400.0,Delivery,Brookefield,48.0,North Indian & Mughlai Cuisine,Quick Bites & Takeaway,North Indian & Mughlai Cuisine
Biryani@Bangalore,No,No,2.9,86.0,Marathahalli,"Takeaway, Delivery","Biryani, Chinese, South Indian",300.0,Delivery,Brookefield,249.4,South Indian Traditional,Quick Bites & Takeaway,Biryani & Andhra Cuisine
Biryani Pot,No,No,3.2,10.0,Marathahalli,"Takeaway, Delivery",Biryani,500.0,Delivery,Brookefield,32.0,Biryani & Andhra Cuisine,Quick Bites & Takeaway,Biryani & Andhra Cuisine
Late Night,No,No,3.0,17.0,Marathahalli,,"North Indian, Chinese",500.0,Delivery,Brookefield,51.0,North Indian & Mughlai Cuisine,Others,North Indian & Mughlai Cuisine
Owl's Kitchen,No,No,2.7,100.0,Marathahalli,,"North Indian, Chinese",500.0,,,270.0,North Indian & Mughlai Cuisine,Others,North Indian & Mughlai Cuisine
Utopia,No,No,2.8,59.0,Marathahalli,Casual Dining,"North Indian, Chinese",550.0,Delivery,Brookefield,165.2,North Indian & Mughlai Cuisine,Casual Dining & Bar,North Indian & Mughlai Cuisine
Wok Steam & Grills,Yes,No,3.7,41.0,Marathahalli,"Takeaway, Delivery",Asian,400.0,Delivery,Brookefield,151.70000000000002,Chinese & Pan-Asian Delights,Quick Bites & Takeaway,Chinese & Pan-Asian Delights
Nitehunger,Yes,No,2.6,119.0,Marathahalli,"Takeaway, Delivery","North Indian, Chinese",500.0,,,309.40000000000003,North Indian & Mughlai Cuisine,Quick Bites & Takeaway,North Indian & Mughlai Cuisine
Happy Endings,Yes,No,4.1,180.0,"ITPL Main Road, Whitefield","Bakery, Dessert Parlor","Bakery, Desserts",300.0,Delivery,Brookefield,737.9999999999999,Desserts & Sweets,Cafe & Bakery,Desserts & Sweets
Lassi Corner,Yes,No,3.6,23.0,Brookefield,Beverage Shop,"Beverages, Desserts",150.0,Desserts,Brookefield,82.8,Desserts & Sweets,Dessert & Beverage Shops,Desserts & Sweets
Chef Baker's,Yes,No,4.0,544.0,Brookefield,Bakery,Bakery,450.0,Desserts,Brookefield,2176.0,Desserts & Sweets,Cafe & Bakery,Desserts & Sweets
Cake Dilim,Yes,No,3.6,67.0,Brookefield,Bakery,Bakery,400.0,Desserts,Brookefield,241.20000000000002,Desserts & Sweets,Cafe & Bakery,Desserts & Sweets
Gelato Italiano,Yes,No,3.4,5.0,Brookefield,Dessert Parlor,"Ice Cream, Bakery, Desserts",200.0,Desserts,Brookefield,17.0,Desserts & Sweets,Dessert & Beverage Shops,Desserts & Sweets
Creamy Zone,No,No,3.2,4.0,Brookefield,Dessert Parlor,"Ice Cream, Juices",100.0,Desserts,Brookefield,12.8,Desserts & Sweets,Dessert & Beverage Shops,Desserts & Sweets
Warm Oven,Yes,No,3.4,12.0,Brookefield,Bakery,"Bakery, Desserts",500.0,Desserts,Brookefield,40.8,Desserts & Sweets,Cafe & Bakery,Desserts & Sweets
Chez Mariannick,No,No,4.1,395.0,Whitefield,Casual Dining,"French, Pizza, Bakery",1000.0,,,1619.4999999999998,Street Food & Snacks,Casual Dining & Bar,Global Fusion & Others
Little Black Choux,No,No,4.0,35.0,Whitefield,Bakery,Bakery,250.0,Desserts,Brookefield,140.0,Desserts & Sweets,Cafe & Bakery,Desserts & Sweets
Mojo Bites,No,No,3.9,23.0,Whitefield,Quick Bites,Fast Food,250.0,Desserts,Brookefield,89.7,Street Food & Snacks,Quick Bites & Takeaway,Street Food & Snacks
Kartik's Mithai Shoppe,No,No,3.5,22.0,Marathahalli,"Quick Bites, Sweet Shop","Mithai, Street Food",150.0,Desserts,Brookefield,77.0,Street Food & Snacks,Quick Bites & Takeaway,Desserts & Sweets
The 3 Musketeers,No,No,3.2,5.0,Whitefield,Dessert Parlor,"Ice Cream, Desserts",200.0,Desserts,Brookefield,16.0,Desserts & Sweets,Dessert & Beverage Shops,Desserts & Sweets
KC Das - Sweet Sensation,No,No,2.9,31.0,Whitefield,"Sweet Shop, Quick Bites","Mithai, Street Food",200.0,Desserts,Brookefield,89.89999999999999,Street Food & Snacks,Quick Bites & Takeaway,Desserts & Sweets
Mad Over Donuts,Yes,No,3.9,124.0,Whitefield,Dessert Parlor,"Bakery, Desserts, Beverages",450.0,Desserts,Brookefield,483.59999999999997,Desserts & Sweets,Dessert & Beverage Shops,Desserts & Sweets
Daily Bread,No,No,3.6,18.0,Marathahalli,"Bakery, Quick Bites","Bakery, Fast Food, Italian",600.0,Desserts,Brookefield,64.8,Street Food & Snacks,Quick Bites & Takeaway,Desserts & Sweets
Ice Stone Creamery,No,No,3.4,5.0,Whitefield,"Food Court, Dessert Parlor","Desserts, Ice Cream",400.0,Desserts,Brookefield,17.0,Desserts & Sweets,Dessert & Beverage Shops,Desserts & Sweets
Cookie Man,Yes,No,3.2,11.0,Whitefield,Dessert Parlor,Bakery,150.0,Desserts,Brookefield,35.2,Desserts & Sweets,Dessert & Beverage Shops,Desserts & Sweets
Kitchen Aroma,No,No,3.4,7.0,Whitefield,Takeaway,Desserts,400.0,Desserts,Brookefield,23.8,Desserts & Sweets,Others,Desserts & Sweets
Sweet Truth,Yes,No,3.9,12.0,"ITPL Main Road, Whitefield",Delivery,"Bakery, Desserts",500.0,Desserts,Brookefield,46.8,Desserts & Sweets,Delivery Only,Desserts & Sweets
Gilly's Restobar,No,Yes,4.4,1700.0,Brookefield,"Pub, Casual Dining","Continental, Finger Food, North Indian, Chinese",1200.0,,,7480.000000000001,North Indian & Mughlai Cuisine,Casual Dining & Bar,Continental & Cafe Culture
Chulha Chauki Da Dhaba,Yes,No,4.1,2143.0,Brookefield,Casual Dining,North Indian,800.0,Dine-out,Brookefield,8786.3,North Indian & Mughlai Cuisine,Casual Dining & Bar,North Indian & Mughlai Cuisine
Chai Point,Yes,No,3.9,130.0,Brookefield,"Beverage Shop, Quick Bites","Tea, Beverages, Fast Food",250.0,Dine-out,Brookefield,507.0,Street Food & Snacks,Quick Bites & Takeaway,Global Fusion & Others
Chef in,No,No,3.6,199.0,Brookefield,Casual Dining,"Biryani, North Indian, Chinese",500.0,,,716.4,North Indian & Mughlai Cuisine,Casual Dining & Bar,Biryani & Andhra Cuisine
The Crunch,No,No,3.3,6.0,Brookefield,Beverage Shop,Beverages,300.0,Dine-out,Brookefield,19.799999999999997,Desserts & Sweets,Dessert & Beverage Shops,Desserts & Sweets
Taco Bell,Yes,No,4.0,777.0,Brookefield,Quick Bites,"Mexican, American, Fast Food",600.0,Dine-out,Brookefield,3108.0,Street Food & Snacks,Quick Bites & Takeaway,Global Fusion & Others
Sai Foods,Yes,No,4.1,143.0,Brookefield,Quick Bites,North Indian,200.0,Dine-out,Brookefield,586.3,North Indian & Mughlai Cuisine,Quick Bites & Takeaway,North Indian & Mughlai Cuisine
Five Star Chicken,Yes,No,3.7,193.0,Brookefield,Quick Bites,"Fast Food, Burger",200.0,Dine-out,Brookefield,714.1,Street Food & Snacks,Quick Bites & Takeaway,Street Food & Snacks
Donne Biryani Mane,No,No,3.5,13.0,Brookefield,Quick Bites,Biryani,250.0,Dine-out,Brookefield,45.5,Biryani & Andhra Cuisine,Quick Bites & Takeaway,Biryani & Andhra Cuisine
Real Fresh Dosa Corner,No,No,3.7,29.0,Brookefield,Quick Bites,South Indian,200.0,Dine-out,Brookefield,107.30000000000001,South Indian Traditional,Quick Bites & Takeaway,South Indian Traditional
KFC,Yes,No,3.1,420.0,Brookefield,Quick Bites,"Burger, Fast Food",450.0,Dine-out,Brookefield,1302.0,Street Food & Snacks,Quick Bites & Takeaway,Street Food & Snacks
Mayura Sagar,No,No,3.6,194.0,Brookefield,Quick Bites,"Chinese, North Indian, South Indian",250.0,,,698.4,North Indian & Mughlai Cuisine,Quick Bites & Takeaway,Chinese & Pan-Asian Delights
Just Parathas,No,No,3.4,5.0,Brookefield,Quick Bites,North Indian,250.0,Dine-out,Brookefield,17.0,North Indian & Mughlai Cuisine,Quick Bites & Takeaway,North Indian & Mughlai Cuisine
Sri Udupi Park,Yes,No,3.9,265.0,Brookefield,Quick Bites,"South Indian, North Indian, Chinese",400.0,Dine-out,Brookefield,1033.5,North Indian & Mughlai Cuisine,Quick Bites & Takeaway,South Indian Traditional
Chakh Le India,Yes,No,3.3,229.0,Brookefield,Quick Bites,"North Indian, Chinese, Rolls",300.0,Dine-out,Brookefield,755.6999999999999,North Indian & Mughlai Cuisine,Quick Bites & Takeaway,North Indian & Mughlai Cuisine
Mayura Grand,No,No,3.9,91.0,Brookefield,Quick Bites,"North Indian, South Indian, Chinese",350.0,Dine-out,Brookefield,354.9,North Indian & Mughlai Cuisine,Quick Bites & Takeaway,North Indian & Mughlai Cuisine
Domino's Pizza,No,No,3.7,69.0,Brookefield,Quick Bites,"Pizza, Fast Food",800.0,Dine-out,Brookefield,255.3,Street Food & Snacks,Quick Bites & Takeaway,Street Food & Snacks
Shreya Ranna Ghar,No,No,3.3,6.0,Brookefield,Quick Bites,"Bengali, North Indian",350.0,Dine-out,Brookefield,19.799999999999997,North Indian & Mughlai Cuisine,Quick Bites & Takeaway,Global Fusion & Others
Treat,No,No,3.8,54.0,Brookefield,Food Court,North Indian,500.0,,,205.2,North Indian & Mughlai Cuisine,Food Court & Lounge,North Indian & Mughlai Cuisine
Sri Fast Food,No,No,3.1,5.0,Brookefield,Quick Bites,"Chinese, Biryani",200.0,Dine-out,Brookefield,15.5,Biryani & Andhra Cuisine,Quick Bites & Takeaway,Chinese & Pan-Asian Delights
WOW! Momo,No,No,3.8,22.0,Brookefield,Food Court,"Chinese, Momos",400.0,Dine-out,Brookefield,83.6,Chinese & Pan-Asian Delights,Food Court & Lounge,Chinese & Pan-Asian Delights
Subway,Yes,No,3.8,159.0,Brookefield,Quick Bites,"Salad, Fast Food",600.0,Dine-out,Brookefield,604.1999999999999,Street Food & Snacks,Quick Bites & Takeaway,Health & Nutrition
Biergarten,No,Yes,4.7,6865.0,Whitefield,"Microbrewery, Pub","Continental, European, BBQ, Chinese, Asian",2400.0,,,32265.5,Chinese & Pan-Asian Delights,Others,Continental & Cafe Culture
Windmills Craftworks,No,No,4.6,5890.0,Whitefield,"Microbrewery, Pub","American, North Indian, Salad",2500.0,,,27093.999999999996,North Indian & Mughlai Cuisine,Others,Global Fusion & Others
Oota Bangalore,No,No,4.6,463.0,Whitefield,Casual Dining,South Indian,1700.0,Dine-out,Brookefield,2129.7999999999997,South Indian Traditional,Casual Dining & Bar,South Indian Traditional
Uno Chicago Bar & Grill,No,Yes,4.2,103.0,Whitefield,"Casual Dining, Bar",American,1300.0,Dine-out,Brookefield,432.6,Global Fusion & Others,Casual Dining & Bar,Global Fusion & Others
Hyderabad Chefs,Yes,No,4.0,268.0,Whitefield,Casual Dining,"Hyderabadi, Andhra, North Indian, Chinese, South Indian",800.0,Dine-out,Brookefield,1072.0,North Indian & Mughlai Cuisine,Casual Dining & Bar,Global Fusion & Others
Beijing Bites,Yes,No,4.0,499.0,Whitefield,Casual Dining,"Chinese, Thai",850.0,Dine-out,Brookefield,1996.0,Chinese & Pan-Asian Delights,Casual Dining & Bar,Chinese & Pan-Asian Delights
Amber Rush by The Pool,No,No,3.9,140.0,Marathahalli,"Bar, Casual Dining","North Indian, Chinese, Continental",1500.0,Dine-out,Brookefield,546.0,North Indian & Mughlai Cuisine,Casual Dining & Bar,North Indian & Mughlai Cuisine
Pablo's Gastrobar,No,No,4.1,1073.0,Whitefield,Bar,"Finger Food, American, Asian, Italian",1450.0,Dine-out,Brookefield,4399.299999999999,Chinese & Pan-Asian Delights,Others,Global Fusion & Others
Alto Vino - Bengaluru Marriott Hotel Whitefield,No,Yes,4.3,263.0,Whitefield,Fine Dining,"Italian, Salad",3000.0,Dine-out,Brookefield,1130.8999999999999,Continental & Cafe Culture,Fine Dining,Continental & Cafe Culture
A2B - Adyar Ananda Bhavan,Yes,No,2.7,596.0,Marathahalli,Casual Dining,"South Indian, Fast Food, Street Food",400.0,Dine-out,Brookefield,1609.2,South Indian Traditional,Casual Dining & Bar,South Indian Traditional
Dilli Darbar,Yes,No,3.5,180.0,Whitefield,Casual Dining,"North Indian, Chinese, Biryani",500.0,Dine-out,Brookefield,630.0,North Indian & Mughlai Cuisine,Casual Dining & Bar,North Indian & Mughlai Cuisine
Chaat Junction,No,No,3.6,12.0,Whitefield,Quick Bites,"Street Food, North Indian, Fast Food",200.0,Dine-out,Brookefield,43.2,North Indian & Mughlai Cuisine,Quick Bites & Takeaway,Street Food & Snacks
Miro Bar - Miraya Hotel & Residences,No,No,3.8,26.0,Whitefield,Lounge,"North Indian, Chinese, Thai, Asian",2000.0,Dine-out,Brookefield,98.8,North Indian & Mughlai Cuisine,Food Court & Lounge,North Indian & Mughlai Cuisine
Delhi Walle,No,No,3.7,116.0,Whitefield,Quick Bites,"North Indian, Street Food",300.0,Dine-out,Brookefield,429.20000000000005,North Indian & Mughlai Cuisine,Quick Bites & Takeaway,North Indian & Mughlai Cuisine
Slounge - Lemon Tree Hotel,No,No,3.9,21.0,Whitefield,Lounge,Finger Food,1500.0,Dine-out,Brookefield,81.89999999999999,Global Fusion & Others,Food Court & Lounge,Global Fusion & Others
